지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m )
108,서울,2024-01-01 01:00,.5,,,,2.2,,50,,97,,6.1,0,2.4,,0,0,,
108,서울,2024-01-01 02:00,.4,,,,.4,,0,,98,,6.2,.1,2.4,,6,2,,13
108,서울,2024-01-01 03:00,-.1,,,,1.7,,20,,98,,6,-.3,2.4,,1,1,Sc,13
108,서울,2024-01-01 04:00,-.2,,,,2.2,,20,,98,,5.9,-.4,2.4,,6,6,Sc,14
108,서울,2024-01-01 05:00,.3,,,,1.2,,90,,99,,6.2,.1,2.4,,8,8,Sc,10
108,서울,2024-01-01 06:00,.5,,,,2,,50,,99,,6.2,.3,2.4,,8,8,Sc,9
108,서울,2024-01-01 07:00,.4,,,,2.1,,70,,98,,6.2,.1,2.4,,4,4,Sc,13
108,서울,2024-01-01 08:00,.2,,,,.8,,70,,98,,6.1,0,2.4,,4,4,Sc,14
108,서울,2024-01-01 09:00,.6,,,,1.3,,50,,99,,6.3,.4,2.4,,1,1,Sc,14
108,서울,2024-01-01 10:00,2.4,,,,1.4,,70,,95,,6.9,1.6,2.4,,1,0,Ci,
108,서울,2024-01-01 11:00,4.4,,,,2,,70,,82,,6.8,1.5,2.2,,2,0,Ci,
108,서울,2024-01-01 12:00,5.7,,,,2.3,,90,,73,,6.7,1.2,1.7,,4,0,Ci,
108,서울,2024-01-01 13:00,7.3,,,,1.6,,110,,70,,7.1,2.1,.9,,7,7,Sc,14
108,서울,2024-01-01 14:00,6.5,,,,2.1,,180,,68,,6.6,1,.5,,9,9,Sc,8
108,서울,2024-01-01 15:00,6.4,,,,1.2,,160,,68,,6.5,.9,.2,,9,9,Sc,8
108,서울,2024-01-01 16:00,5.8,,,,2.2,,180,,68,,6.2,.3,,,9,9,Sc,10
108,서울,2024-01-01 17:00,5.5,,,,2.3,,200,,71,,6.4,.6,,,9,9,Sc,8
108,서울,2024-01-01 18:00,4.9,,,,1.1,,230,,71,,6.1,0,,,9,9,Sc,10
108,서울,2024-01-01 19:00,4.6,,,,1.3,,270,,72,,6.1,0,,,9,9,,10
108,서울,2024-01-01 20:00,4.4,,,,1.3,,270,,75,,6.2,.3,,,1,1,,9
108,서울,2024-01-01 21:00,4.3,,0,,1.7,,290,,77,,6.4,.6,,,9,9,Sc,10
108,서울,2024-01-01 22:00,4.1,,,9,1.5,,250,,79,,6.4,.7,,,9,9,Sc,10
108,서울,2024-01-01 23:00,3.9,,,9,2,,270,,82,,6.6,1.1,,,9,9,Sc,10
108,서울,2024-01-02 00:00,3.7,,0,,1.7,,290,,82,,6.5,.9,,,10,9,,
108,서울,2024-01-02 01:00,3.5,,,9,1.1,,270,,85,,6.7,1.2,,,10,9,ScAs,10
108,서울,2024-01-02 02:00,3.3,,,9,2,,270,,86,,6.6,1.1,,,9,9,Sc,8
108,서울,2024-01-02 03:00,3,,0,,2.2,,270,,80,,6.1,-.1,,,8,8,Sc,13
108,서울,2024-01-02 04:00,2.8,,,9,.4,,0,,82,,6.1,0,,,8,8,Sc,13
108,서울,2024-01-02 05:00,2.4,,,9,.1,,0,,84,,6.1,0,,,8,8,Sc,13
108,서울,2024-01-02 06:00,2.3,,,9,.6,,340,,84,,6.1,-.1,,,9,9,Sc,8
108,서울,2024-01-02 07:00,2.2,,,9,.3,,0,,82,,5.9,-.5,,,9,9,Sc,7
108,서울,2024-01-02 08:00,2.3,,,9,1.4,,290,,77,,5.6,-1.3,,,9,9,Sc,7
108,서울,2024-01-02 09:00,2.3,,0,,1.8,,270,,75,,5.4,-1.6,,,9,9,Sc,7
108,서울,2024-01-02 10:00,2.7,,,9,2.2,,250,,74,,5.5,-1.4,,,9,9,Sc,8
108,서울,2024-01-02 11:00,3.1,,,9,1.6,,290,,73,,5.6,-1.2,,,9,9,Sc,8
108,서울,2024-01-02 12:00,3.6,,,9,1.7,,290,,72,,5.7,-.9,,,9,9,Sc,7
108,서울,2024-01-02 13:00,4,,,9,1.7,,270,,68,,5.6,-1.3,,,9,9,Sc,10
108,서울,2024-01-02 14:00,4.1,,,9,1.7,,270,,63,,5.2,-2.3,,,9,9,Sc,10
108,서울,2024-01-02 15:00,3.9,,,9,2.4,,270,,62,,5,-2.7,,,9,4,ScCi,10
108,서울,2024-01-02 16:00,4,,,9,1.9,,290,,62,,5,-2.6,,,9,9,Sc,11
108,서울,2024-01-02 17:00,3.5,,,9,1.2,,270,,63,,5,-2.8,,,9,9,Sc,12
108,서울,2024-01-02 18:00,3.2,,,9,1.2,,290,,64,,4.9,-2.9,,,9,9,Sc,11
108,서울,2024-01-02 19:00,2.9,,,9,1.6,,290,,70,,5.3,-2,,,10,3,,12
108,서울,2024-01-02 20:00,2.4,,,9,1.3,,320,,70,,5.1,-2.5,,,10,1,,51
108,서울,2024-01-02 21:00,2.3,,,9,2.1,,290,,72,,5.2,-2.2,,,9,2,ScCi,12
108,서울,2024-01-02 22:00,2.3,,,9,2,,290,,72,,5.2,-2.2,,,10,10,,11
108,서울,2024-01-02 23:00,2.3,,,9,1.2,,290,,73,,5.3,-2,,,10,10,,11
108,서울,2024-01-03 00:00,2.4,,,9,1.7,,340,,72,,5.2,-2.1,,,9,9,,
108,서울,2024-01-03 01:00,2.3,,,,1.6,,340,,74,,5.4,-1.8,,,10,10,,11
108,서울,2024-01-03 02:00,2.2,,,,1,,340,,74,,5.3,-1.9,,,10,10,,11
108,서울,2024-01-03 03:00,2.1,,,,.3,,0,,75,,5.4,-1.8,,,9,9,Sc,10
108,서울,2024-01-03 04:00,2,,,,.4,,0,,77,,5.4,-1.6,,,9,9,Sc,8
108,서울,2024-01-03 05:00,2.2,,,,.9,,290,,77,,5.5,-1.4,,,9,9,Sc,7
108,서울,2024-01-03 06:00,2.2,,,,.7,,290,,78,,5.6,-1.2,,,9,9,Sc,7
